,class,mean_cases,population,ratio,state,date
14905,red,1841,10600823,17.366576161115038,North Carolina,2021-04-16
970,red,1289,7421401,17.368688203211228,Arizona,2020-06-17
22525,red,310,1784787,17.369019384385922,West Virginia,2021-02-27
393,yellow,855,4921532,17.372639251355064,Alabama,2021-03-19
10045,red,1732,9966555,17.37812112610626,Michigan,2020-10-24
15086,red,133,765309,17.378601323125693,North Dakota,2020-08-14
15255,yellow,133,765309,17.378601323125693,North Dakota,2021-01-30
15090,red,133,765309,17.378601323125693,North Dakota,2020-08-18
22941,yellow,1014,5832655,17.384878755901042,Wisconsin,2021-02-17
14722,red,1843,10600823,17.385442620822932,North Carolina,2020-10-15
1463,red,527,3030522,17.38974341714068,Arkansas,2020-08-23
12140,red,337,1937552,17.393081579229875,Nebraska,2020-09-19
19593,yellow,1198,6886834,17.395511493379978,Tennessee,2021-04-18
19547,yellow,1198,6886834,17.395511493379978,Tennessee,2021-03-03
3820,red,124,712816,17.395793584880252,District of Columbia,2021-04-07
8060,yellow,779,4477251,17.399069205635335,Kentucky,2021-03-18
18566,red,908,5218040,17.401169787889703,South Carolina,2020-10-25
21725,red,1495,8590563,17.402817487049454,Virginia,2021-04-20
17652,red,555,3189068,17.40320369462175,Puerto Rico,2020-08-24
8930,red,235,1350141,17.405589490282868,Maine,2021-04-05
21723,red,1496,8590563,17.414458167642795,Virginia,2021-04-18
18564,red,909,5218040,17.420334071797072,South Carolina,2020-10-23
18524,red,909,5218040,17.420334071797072,South Carolina,2020-09-13
4463,red,1866,10710017,17.42294153221232,Georgia,2020-09-10
21719,red,1497,8590563,17.42609884823614,Virginia,2021-04-14
10452,red,986,5657342,17.428679404568435,Minnesota,2020-10-05
3063,red,172,986809,17.42991804898415,Delaware,2020-05-11
3073,red,172,986809,17.42991804898415,Delaware,2020-05-21
3076,red,172,986809,17.42991804898415,Delaware,2020-05-24
3049,red,172,986809,17.42991804898415,Delaware,2020-04-27
3244,red,172,986809,17.42991804898415,Delaware,2020-11-08
2634,red,620,3557006,17.430389490487222,Connecticut,2020-05-08
17653,red,556,3189068,17.434560818395845,Puerto Rico,2020-08-25
21724,red,1498,8590563,17.437739528829486,Virginia,2021-04-19
10186,red,1738,9966555,17.43832246949924,Michigan,2021-03-14
19594,yellow,1201,6886834,17.439072874415153,Tennessee,2021-04-19
11235,red,1073,6151548,17.44276400021588,Missouri,2020-07-28
12295,yellow,338,1937552,17.44469309726913,Nebraska,2021-02-21
18532,red,911,5218040,17.45866263961181,South Carolina,2020-09-21
10783,red,518,2966786,17.4599718348408,Mississippi,2020-07-02
1892,red,6874,39368078,17.460847339308767,California,2020-08-26
14715,red,1851,10600823,17.4609084596545,North Carolina,2020-10-08
14001,yellow,368,2106319,17.471237737493702,New Mexico,2021-02-23
16136,yellow,2043,11693217,17.47166754880201,Ohio,2021-02-28
19123,yellow,156,892717,17.47474283563548,South Dakota,2021-03-05
19133,yellow,156,892717,17.47474283563548,South Dakota,2021-03-15
2521,red,1015,5807719,17.47674086848899,Colorado,2021-03-17
10187,red,1742,9966555,17.478456698427895,Michigan,2021-03-15
14648,red,1853,10600823,17.479774919362395,North Carolina,2020-08-02
22548,red,312,1784787,17.481077573962605,West Virginia,2021-03-22
10453,red,989,5657342,17.481707840890653,Minnesota,2020-10-06
