OBJECTID,Place,תאריך,שעות שהייה,lng,lat
1276337,"אברהם אבינו 99, באר שבע",28/6/2020,16:30 - 17:30,34.79735980000000,31.27000460000010
1276338,חוף סירונית - נתניה,1/7/2020,08:00 - 20:00,34.848258300000100,32.33064550000010
1276339,Urban pilates אורבן פילאטיס - באר שבע,28/6/2020,09:00 - 10:00,34.78976800000000,31.246340700000100
1276340,הגבעה - גבעת ברנר,30/6/2020,18:00 - 23:59,34.80413770000010,31.870822400000100
1276341,"הרצל 62, ראשון לציון",28/6/2020,17:00 - 17:30,34.80265440000010,31.96538780000000
1276342,סופר-פארם הרצל ראשון לציון - ראשון לציון,29/6/2020,14:00 - 14:30,34.80257240000000,31.966276700000000
1276343,קופת חולים מכבי לב יסמין - נתניה,30/6/2020,08:30 - 11:00,34.853588700000000,32.283275600000000
1276344,ויצמן 14 - תל אביב יפו,2/7/2020,09:00 - 16:00,34.78910360000000,32.081827100000100
1276345,BIG ביג באר שבע - באר שבע,1/7/2020,15:30 - 16:30,34.81085200000010,31.242637600000000
1276346,מאקה מאקה - הרצליה,3/7/2020,20:00 - 20:30,34.79942700000000,32.16998300000010
1276347,קניון עיר ימים - נתניה,2/7/2020,15:00 - 17:30,34.847047400000100,32.27914260000010
1276348,במבו וילג' - נתניה,2/7/2020,14:00 - 15:00,34.83387940000010,32.27327950000010
1276349,סושי רום - הרצליה,29/6/2020,21:00 - 23:00,34.814838500000100,32.162855200000000
1276350,כללית - אבן יהודה,28/6/2020,08:15 - 08:45,34.888973200000100,32.27112660000010
1276351,ברבוניה - תל אביב יפו,29/6/2020,18:00 - 23:30,34.773429100000000,32.088942200000100
1276352,ברנרד - ראשון לציון,28/6/2020,22:00 - 23:59,34.79707200000010,31.964064000000100
1276353,ברנרד - ראשון לציון,28/6/2020,00:00 - 01:00,34.79707200000010,31.964064000000100
1276354,"קופ""ח מאוחדת - נחף",29/6/2020,17:00 - 18:00,35.31732910000010,32.93330370000010
1276355,"יצחק בן צבי 35, רמלה",28/6/2020,18:00 - 20:30,34.86070020000010,31.927414600000100
1276356,"האיילון 12, לוד",28/6/2020,21:30 - 22:00,34.90135870000010,31.945127300000000
1276357,"שדרות דוד המלך 17, לוד",28/6/2020,20:30 - 21:00,34.887400100000000,31.94998180000010
1276358,"הנרייטה סולד 1, תל אביב יפו",28/6/2020,09:00 - 15:00,34.79126680000010,32.077964500000100
1276359,פורט סעיד - תל אביב יפו,28/6/2020,20:30 - 23:30,34.77224220000010,32.06473470000000
1276360,סטודיו נתי אבידן - תל אביב יפו,28/6/2020,20:00 - 21:00,34.79127420000000,32.11237250000010
1276361,סטודיו נתי אבידן - תל אביב יפו,30/6/2020,20:00 - 21:00,34.79127420000000,32.11237250000010
1276362,East-TLV - תל אביב יפו,27/6/2020,00:00 - 01:00,34.79496300000010,32.06633900000000
1276363,סופר-פארם פארק מול רעננה - רעננה,29/6/2020,15:30 - 16:00,34.85317950000010,32.18416650000010
1276364,טיב טעם רעננה - רעננה,29/6/2020,16:00 - 17:00,34.85306010000010,32.18365430000010
1276365,GOAT TLV | גואט תל אביב - תל אביב יפו,29/6/2020,23:00 - 23:30,34.771961900000100,32.062941900000100
1276366,"בן יהודה 1, תל אביב יפו",30/6/2020,01:30 - 04:00,34.768147500000100,32.073308000000100
1276367,מגה בעיר - גן יבנה,29/6/2020,15:00 - 15:30,34.71262690000000,31.789459200000100
1276368,הרמוניה בגן - אולם אירועים - גדרה,28/6/2020,20:00 - 23:30,34.762036100000000,31.80342150000010
