province_country,id,value,color
"Talbot, Georgia, US",84013263,0.24,yellow
"Taliaferro, Georgia, US",84013265,0.0,green
"Tattnall, Georgia, US",84013267,0.8,red
"Taylor, Georgia, US",84013269,0.4285714285714286,orange
"Telfair, Georgia, US",84013271,0.2142857142857143,yellow
"Terrell, Georgia, US",84013273,0.011976047904191617,green
"Thomas, Georgia, US",84013275,0.5911949685534591,orange
"Tift, Georgia, US",84013277,0.7555555555555555,orange
"Toombs, Georgia, US",84013279,0.5,orange
"Towns, Georgia, US",84013281,0.0625,green
"Treutlen, Georgia, US",84013283,0.7499999999999999,orange
"Troup, Georgia, US",84013285,0.4621848739495798,orange
"Turner, Georgia, US",84013287,0.20588235294117646,yellow
"Twiggs, Georgia, US",84013289,0.4444444444444445,orange
"Union, Georgia, US",84013291,0.13043478260869565,yellow
"Upson, Georgia, US",84013293,0.12727272727272726,yellow
"Walker, Georgia, US",84013295,0.21698113207547168,yellow
"Walton, Georgia, US",84013297,0.22656249999999997,yellow
"Ware, Georgia, US",84013299,0.35789473684210527,yellow
"Warren, Georgia, US",84013301,0.25,yellow
